1001,1,2016
1002,1,2016
1003,1,2016
1004,1,2017
1005,1,2017
1006,1,2017
1007,1,2017
1008,1,2017
1009,1,2018
1010,1,2018
1011,2,2016
1012,2,2016
1013,2,2016
1014,2,2017
1015,2,2017
1016,2,2017
1017,2,2017
1018,2,2017
1019,2,2018
1020,2,2018
1021,2,2016
1022,2,2016
1023,2,2016
1024,2,2017
1025,2,2017
1026,2,2017
1027,2,2017
1028,2,2017
1029,2,2018
1030,2,2018
1031,3,2018
1032,3,2018
1033,3,2018
1034,3,2018
1035,3,2018
1036,4,2016
1037,5,2016
1038,5,2016
1039,5,2016
1040,5,2016
1041,5,2016
1042,5,2016
1043,5,2016
1044,5,2016
1045,5,2016
1046,5,2016
1047,5,2016
1048,5,2016
1049,5,2016
1050,4,2017
1051,6,2016
1052,5,2017
1053,5,2017
1054,5,2017
1055,5,2017
1056,5,2017
1057,5,2017
1058,5,2017
1059,5,2017
1060,5,2017
1061,5,2017
1062,1,2018
1063,4,2018
1064,2,2017
1065,2,2017
1066,2,2017
1067,2,2017
1068,2,2017
1069,2,2017
1070,2,2017
1071,2,2017
1072,2,2017
1073,2,2017
1074,2,2017
1075,2,2017
1076,3,2017
1077,4,2017
1078,5,2016
1079,5,2016
1080,5,2017
1081,5,2017
1082,5,2017
1083,5,2017
1084,5,2017
1085,5,2017
1086,5,2017
1087,5,2017
1088,2,2017
1089,2,2017
1090,2,2017
1091,2,2017
1092,2,2017
1093,2,2017
1094,7,2018
1095,2,2018
1096,2,2018
1097,2,2018
1098,3,2018
1099,3,2018
1100,3,2018
1101,5,2018
1102,5,2018
1103,5,2018
1104,5,2018
1105,5,2018
1106,5,2018
1107,5,2018
1108,5,2018
1109,5,2018
1110,5,2018
1111,5,2018
1112,1,2018
1113,6,2016
1114,6,2017
1115,6,2018
1116,4,2018
1117,3,2018
